id;name;anime;link;linkhtml
JP39;Kōchi;Ocean Waves;https://youtu.be/tfkHiHjrqa8?si=TFjoQ_zaPeSKlk9Z;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/tfkHiHjrqa8?si=msfyVzUKlOgitry4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP32;Shimane;Eagle Talon;https://youtu.be/9M0J2blMzek?si=2Wn_RlfvtNPsqKCw;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/9M0J2blMzek?si=nAHO5d6FjZV3tlKW"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP35;Yamaguchi;Mai Mai Miracle;https://youtu.be/4X0rBfBzDec?si=L3GaKIqOtWiSOlJe;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4X0rBfBzDec?si=MDXTZF9hMpkWzPfX"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP31;Tottori;Free! - Iwatobi Swim Club;https://youtu.be/WaLVCsv_Z1s?si=jkrtTNypIIgeNxUk;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/WaLVCsv_Z1s?si=KQuuZqepm8szhDyd"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP28;Hyōgo;The Melancholy of Haruhi Suzumiya;https://youtu.be/C337shIT9LI?si=-XrfxdOrNvH6WliH;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/C337shIT9LI?si=fi1XbR5S-C69NHmh"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP26;Kyōto;Sound! Euphonium;https://youtu.be/xt_EJXhrLOc?si=CKrZIxkC4vhp994k;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xt_EJXhrLOc?si=3u6IsoYyvk_TrHbt"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP18;Fukui;Chihayafuru;https://youtu.be/IcCJgmLZYkE?si=YecSl2XPbOEVZ_X7;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/IcCJgmLZYkE?si=xBnwcPvyvmdO-IAz"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP17;Ishikawa;Hanasaku Iroha;https://youtu.be/6MffR9xOLIM?si=xZ7q_Z1bo7KYVUD2;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6MffR9xOLIM?si=dV6tiQ-c0LatIrB8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP16;Toyama;Wolf Children;https://youtu.be/KeJMi3-LfcM?si=TwgixrzkIDT0d3jh;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/KeJMi3-LfcM?si=-7xV4lgvZqwWwm9q"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP15;Niigata;Dokaben;https://youtu.be/_Ozb6lMSD7o?si=vXiEA-ogAd2v9Akb;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/_Ozb6lMSD7o?si=rnaIYaN3y6F3MY_J"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP06;Yamagata;Only Yesterday;https://youtu.be/OfkQlZArxw0?si=DbsiOpX-sjmM92DC;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/OfkQlZArxw0?si=alW8LnJh2jO8mpWq"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP05;Akita;Fisherman Sanpei;https://youtu.be/akMG5VhuNeA?si=m1-VyB6qGdZkVI_6;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/akMG5VhuNeA?si=bTE4oL1wdPDo85-8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP02;Aomori;Flying Witch;https://youtu.be/tlS3BXTq7wQ?si=uK6f9FwzoFpIGQMk;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/tlS3BXTq7wQ?si=2nCGRDYGG8i3nsCp"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP03;Iwate;Haikyu!;https://youtu.be/JOGp2c7-cKc?si=a7oAphqOHOXUYWYE;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JOGp2c7-cKc?si=-fLt4xiI0IrIontZ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP04;Miyagi;Haikyu!;https://youtu.be/JOGp2c7-cKc?si=a7oAphqOHOXUYWYE;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JOGp2c7-cKc?si=-fLt4xiI0IrIontZ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP07;Fukushima;Masamune Datenicle;https://youtu.be/nWCCaUS4Un0?si=uNqr-EosK_yrLhCp;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/nWCCaUS4Un0?si=zkXtu6GfKSxy-q8D"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
JP08;Ibaraki;GIRLS Und PANZER;https://youtu.be/V-9A7M33I4o?si=AkM7KS1euiLZlciI;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/V-9A7M33I4o?si=uRLrIeyEPDg5FPFD"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
